('1', '물질의 규칙성과 결합', '객관식', '2'),
('2', '물질의 규칙성과 결합', '객관식', '4'),
('3', '물질의 규칙성과 결합', '객관식', '4'),
('4', '물질의 규칙성과 결합', '객관식', '4'),
('5', '물질의 규칙성과 결합', '객관식', '5'),
('6', '물질의 규칙성과 결합', '객관식', '5'),
('7', '물질의 규칙성과 결합', '객관식', '3'),
('8', '물질의 규칙성과 결합', '객관식', '4'),
('9', '물질의 규칙성과 결합', '객관식', '5'),
('10', '물질의 규칙성과 결합', '객관식', '3'),
('11', '물질의 규칙성과 결합', '객관식', '3'),
('12', '물질의 규칙성과 결합', '객관식', '5'),
('13', '물질의 규칙성과 결합', '객관식', '5'),
('14', '물질의 규칙성과 결합', '객관식', '1'),
('15', '물질의 규칙성과 결합', '객관식', '4'),
('16', '물질의 규칙성과 결합', '객관식', '3'),
('17', '물질의 규칙성과 결합', '객관식', '4'),
('18', '물질의 규칙성과 결합', '객관식', '5'),
('19', '물질의 규칙성과 결합', '객관식', '5'),
('20', '물질의 규칙성과 결합', '객관식', '5'),
('21', '물질의 규칙성과 결합', '객관식', '3'),
('22', '물질의 규칙성과 결합', '객관식', '5'),
('23', '물질의 규칙성과 결합', '객관식', '3'),
('24', '물질의 규칙성과 결합', '객관식', '5'),
('25', '물질의 규칙성과 결합', '객관식', '3'),
('26', '물질의 규칙성과 결합', '객관식', '5'),
('27', '물질의 규칙성과 결합', '객관식', '2'),
('28', '물질의 규칙성과 결합', '객관식', '4'),
('29', '물질의 규칙성과 결합', '객관식', '3'),
('30', '물질의 규칙성과 결합', '객관식', '2'),
('31', '물질의 규칙성과 결합', '객관식', '5'),
('32', '물질의 규칙성과 결합', '객관식', '5'),
('33', '물질의 규칙성과 결합', '객관식', '4'),
('34', '물질의 규칙성과 결합', '객관식', '5'),
('35', '물질의 규칙성과 결합', '객관식', '4'),
('36', '물질의 규칙성과 결합', '객관식', '5'),
('37', '물질의 규칙성과 결합', '객관식', '5'),
('38', '생명체 구성 물질', '객관식', '5'),
('39', '생명체 구성 물질', '객관식', '4'),
('40', '생명체 구성 물질', '객관식', '5'),
('41', '생명체 구성 물질', '객관식', '5'),
('42', '생명체 구성 물질', '객관식', '3'),
('43', '생명체 구성 물질', '객관식', '4'),
('44', '생명체 구성 물질', '객관식', '5'),
('45', '생명체 구성 물질', '객관식', '4'),
('46', '생명체 구성 물질', '객관식', '5'),
('47', '생명체 구성 물질', '객관식', '4'),
('48', '생명체 구성 물질', '객관식', '5'),
('49', '생명체 구성 물질', '객관식', '5'),
('50', '생명체 구성 물질', '객관식', '4'),
('51', '생명체 구성 물질', '객관식', '4'),
('52', '생명체 구성 물질', '객관식', '5'),
('53', '생명체 구성 물질', '객관식', '5'),
('54', '생명체 구성 물질', '객관식', '3'),
('55', '생명체 구성 물질', '객관식', '3'),
('56', '물질의 전기적 성질', '객관식', '3'),
('57', '물질의 전기적 성질', '객관식', '5'),
('58', '물질의 전기적 성질', '객관식', '4'),
('59', '물질의 전기적 성질', '객관식', '4'),
('60', '물질의 전기적 성질', '객관식', '5'),
('61', '물질의 전기적 성질', '객관식', '5'),
('62', '물질의 전기적 성질', '객관식', '5'),
('63', '물질의 전기적 성질', '객관식', '5'),
('64', '물질의 전기적 성질', '객관식', '3'),
('65', '물질의 전기적 성질', '객관식', '5'),
('66', '물질의 전기적 성질', '객관식', '5'),
('67', '물질의 전기적 성질', '객관식', '4'),
('68', '물질의 전기적 성질', '객관식', '5'),
('69', '물질의 전기적 성질', '객관식', '5'),
('70', '물질의 전기적 성질', '객관식', '3'),
('71', '물질의 전기적 성질', '객관식', '3'),
('72', '물질의 전기적 성질', '객관식', '5'),
('73', '물질의 전기적 성질', '객관식', '5'),
('74', '물질의 전기적 성질', '객관식', '5'),
('75', '물질의 전기적 성질', '객관식', '5'),
('76', '물질의 전기적 성질', '객관식', '4'),
('77', '물질의 전기적 성질', '객관식', '5'),
('78', '역학적 시스템', '객관식', '5'),
('79', '역학적 시스템', '객관식', '4'),
('80', '역학적 시스템', '객관식', '5'),
('81', '역학적 시스템', '객관식', '5'),
('82', '역학적 시스템', '객관식', '5'),
('83', '역학적 시스템', '객관식', '5'),
('84', '역학적 시스템', '객관식', '5'),
('85', '역학적 시스템', '객관식', '5'),
('86', '역학적 시스템', '객관식', '5'),
('87', '역학적 시스템', '객관식', '5'),
('88', '역학적 시스템', '객관식', '5'),
('89', '역학적 시스템', '객관식', '5'),
('90', '역학적 시스템', '객관식', '5'),
('92', '역학적 시스템', '객관식', '1'),
('93', '역학적 시스템', '객관식', '2'),
('94', '역학적 시스템', '객관식', '3'),
('95', '역학적 시스템', '객관식', '1'),
('96', '역학적 시스템', '객관식', '5'),
('97', '역학적 시스템', '객관식', '1'),
('98', '생명 시스템', '객관식', '5'),
('99', '생명 시스템', '객관식', '3'),
('100', '생명 시스템', '객관식', '5'),
('101', '생명 시스템', '객관식', '3'),
('102', '생명 시스템', '객관식', '3'),
('103', '생명 시스템', '객관식', '5'),
('104', '생명 시스템', '객관식', '4'),
('105', '생명 시스템', '객관식', '4'),
('106', '생명 시스템', '객관식', '3'),
('107', '생명 시스템', '객관식', '5'),
('108', '생명 시스템', '객관식', '5'),
('109', '생명 시스템', '객관식', '5'),
('110', '생명 시스템', '객관식', '5'),
('111', '생명 시스템', '객관식', '4'),
('112', '생명 시스템', '객관식', '5'),
('113', '생명 시스템', '객관식', '3'),
('114', '생명 시스템', '객관식', '5'),
('115', '생명 시스템', '객관식', '5'),
('116', '화학 변화 (산화 환원)', '객관식', '4'),
('117', '화학 변화 (산화 환원)', '객관식', '1,3'),
('118', '화학 변화 (산화 환원)', '객관식', '5'),
('119', '화학 변화 (산화 환원)', '객관식', '5'),
('120', '화학 변화 (산화 환원)', '객관식', '2'),
('121', '화학 변화 (산화 환원)', '객관식', '3'),
('122', '화학 변화 (산화 환원)', '객관식', '5'),
('123', '화학 변화 (산화 환원)', '객관식', '5'),
('124', '화학 변화 (산화 환원)', '객관식', '5'),
('125', '화학 변화 (산화 환원)', '객관식', '2'),
('126', '화학 변화 (산화 환원)', '객관식', '2'),
('127', '화학 변화 (산화 환원)', '객관식', '5'),
('128', '화학 변화 (산화 환원)', '객관식', '3'),
('129', '화학 변화 (산화 환원)', '객관식', '3'),
('130', '화학 변화 (산화 환원)', '객관식', '5'),
('131', '화학 변화 (산화 환원)', '객관식', '4'),
('132', '화학 변화 (산화 환원)', '객관식', '5'),
('133', '화학 변화 (산화 환원)', '객관식', '5'),
('134', '화학 변화 (산화 환원)', '객관식', '3'),
('135', '화학 변화 (산화 환원)', '객관식', '5'),
('136', '화학 변화 (산화 환원)', '객관식', '4'),
('137', '화학 변화 (산화 환원)', '객관식', '5'),
('138', '화학 변화 (산화 환원)', '객관식', '5'),
('139', '화학 변화 (산화 환원)', '객관식', '3'),
('140', '화학 변화 (산화 환원)', '객관식', '5'),
('141', '화학 변화 (산화 환원)', '객관식', '5'),
('142', '화학 변화 (산화 환원)', '객관식', '5'),
('143', '화학 변화 (산화 환원)', '객관식', '3'),
